Class,Precision,Recall,F-Measure
Meerkat alarm call,0.35514018691588783,0.926829268292683,0.5135135135135135
Blackbird call,0.20313,0.04779911764705882,0.07738595238095239
Meerkat move call,0.01584507042253521,0.8181818181818182,0.031088082901554404
Song thrush call,0.002418629846371338,0.10325903411009793,0.004725644713112377
