Class,Precision,Recall,F-Measure
Meerkat alarm call,0.20454545454545456,0.21951219512195122,0.21176470588235294
Meerkat move call,0.06818181818181818,0.5454545454545454,0.12121212121212122
Song thrush call,0.33333333333333337,0.023891661773341163,0.044224294224294226
Blackbird call,0.0018776591760299626,0.003429657534246575,0.0024263075060532687
