Class,Precision,Recall,F-Measure
Meerkat alarm call,0.5942028985507246,1.0,0.7454545454545455
Meerkat move call,0.07518796992481203,0.9090909090909091,0.1388888888888889
Blackbird call,0.13725990196078433,0.05147558823529411,0.0748713101604278
Song thrush call,0.0043657656984499894,0.13112124282337048,0.00841051996915135
